target_model,model,term,coef,std_err,t,p_value,ci_low,ci_high
Qwen_Qwen3-14B-Base,World-Knowledge Model,Intercept,-0.168126914211154,0.0541367430274289,-3.1055971380836644,0.0019024113278645,-0.2742413480160308,-0.0620124804062772
Qwen_Qwen3-14B-Base,World-Knowledge Model,C(semantic_role)[T.patient],-0.3051629034048367,0.06450904942932,-4.730544103570948,2.2591262924010085e-06,-0.4316082873100865,-0.178717519499587
Qwen_Qwen3-14B-Base,World-Knowledge Model,C(valence)[T.-val],0.0292808170376777,0.0645090494293203,0.4539024725478153,0.649905441121837,-0.0971645668675726,0.1557262009429281
Qwen_Qwen3-14B-Base,World-Knowledge Model,C(dominance)[T.-dom],0.0384849230448345,0.0337884135248908,1.138997633507827,0.2547219158108793,-0.0277443728059009,0.10471421889557
Qwen_Qwen3-14B-Base,World-Knowledge Model,C(semantic_role)[T.patient]:C(valence)[T.-val],-0.0147750218709333,0.0390154992881723,-0.3786962140815784,0.7049187025131745,-0.0912500254462566,0.0616999817043898
Qwen_Qwen3-14B-Base,World-Knowledge Model,C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.0513681411743171,0.0390154992881724,-1.3166085815000557,0.187989517846512,-0.1278431447496405,0.0251068624010062
Qwen_Qwen3-14B-Base,World-Knowledge Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.0567934036254789,0.0390154992881723,-1.455662612593967,0.1455063608869473,-0.1332684072008021,0.0196815999498441
Qwen_Qwen3-14B-Base,World-Knowledge Model,male_perc,0.0337092911046861,0.0007500081972816,44.94523023463449,0.0,0.0322391861306348,0.0351793960787373
Qwen_Qwen3-14B-Base,World-Knowledge Model,male_perc:C(semantic_role)[T.patient],0.0052619296576474,0.0008660348691899,6.075886600927816,1.262173031533072e-09,0.0035643986526364,0.0069594606626583
Qwen_Qwen3-14B-Base,World-Knowledge Model,male_perc:C(valence)[T.-val],0.0031704371025386,0.0008660348691899,3.66086541700579,0.0002522082374735,0.0014729060975276,0.0048679681075495
Qwen_Qwen3-14B-Base,Human-Perception Model,Intercept,-0.2360413944179903,0.0527685325443605,-4.473146836508273,7.763021070931268e-06,-0.339473972954488,-0.1326088158814926
Qwen_Qwen3-14B-Base,Human-Perception Model,C(syntactic_role)[T.subject],-0.1409372411784427,0.0639248081041885,-2.2047346774781813,0.0274874946760343,-0.2662374421857122,-0.0156370401711731
Qwen_Qwen3-14B-Base,Human-Perception Model,C(valence)[T.-val],0.0677492097277016,0.0609318529384554,1.1118849412988003,0.2662050368637774,-0.0516844443943449,0.1871828638497483
Qwen_Qwen3-14B-Base,Human-Perception Model,C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.1485052108764644,0.0386621462748128,-3.8411010558203458,0.0001229761549555,-0.2242876002691843,-0.0727228214837445
Qwen_Qwen3-14B-Base,Human-Perception Model,C(syntactic_role)[non-subject]:C(dominance)[T.-dom],0.0188412348429322,0.0273382658061465,0.6891891013326876,0.4907146909128446,-0.0347450065911796,0.0724274762770442
Qwen_Qwen3-14B-Base,Human-Perception Model,C(syntactic_role)[subject]:C(dominance)[T.-dom],-0.0500329335530557,0.0273382658061464,-1.830142917909847,0.0672479504105797,-0.1036191749871675,0.0035533078810559
Qwen_Qwen3-14B-Base,Human-Perception Model,male_perc,0.0370209695448529,0.0007432155722636,49.8118862500369,0.0,0.0355641789285309,0.0384777601611749
Qwen_Qwen3-14B-Base,Human-Perception Model,male_perc:C(syntactic_role)[T.subject],-0.0013614272226858,0.0008581914214246,-1.586391087929751,0.1126712174606384,-0.0030435841316587,0.000320729686287
Qwen_Qwen3-14B-Base,Human-Perception Model,male_perc:C(valence)[T.-val],0.0031704371025383,0.0008581914214246,3.694323927492968,0.0002212380713244,0.0014882801935655,0.0048525940115112
Qwen_Qwen3-4B-Base,World-Knowledge Model,Intercept,-0.769554721341406,0.0580837845943476,-13.249045783016934,7.562609720698825e-40,-0.8834058250920804,-0.6557036175907316
Qwen_Qwen3-4B-Base,World-Knowledge Model,C(semantic_role)[T.patient],0.0303260598411328,0.0617183008817575,0.4913625198339907,0.6231770939548146,-0.0906491267118472,0.1513012463941128
Qwen_Qwen3-4B-Base,World-Knowledge Model,C(valence)[T.-val],0.1417583148151572,0.0617183008817575,2.296860295728873,0.0216401390059181,0.0207831282621771,0.2627335013681372
Qwen_Qwen3-4B-Base,World-Knowledge Model,C(dominance)[T.-dom],0.0800816773737272,0.0617183008817576,1.297535353851541,0.1944665491750746,-0.0408935091792529,0.2010568639267074
Qwen_Qwen3-4B-Base,World-Knowledge Model,C(semantic_role)[T.patient]:C(valence)[T.-val],0.0494787851969376,0.0373276361289079,1.3255268837830148,0.1850161871221551,-0.023687806879662,0.1226453772735372
Qwen_Qwen3-4B-Base,World-Knowledge Model,C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.1431280771891275,0.037327636128908,-3.834372921308118,0.0001263879172993,-0.2162946692657273,-0.0699614851125277
Qwen_Qwen3-4B-Base,World-Knowledge Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.1945512135823467,0.037327636128908,-5.211988589646547,1.892482897261201e-07,-0.2677178056589466,-0.1213846215057469
Qwen_Qwen3-4B-Base,World-Knowledge Model,male_perc,0.0394747943579532,0.0008285690318429,47.64213100042248,0.0,0.0378507008270692,0.0410988878888373
Qwen_Qwen3-4B-Base,World-Knowledge Model,male_perc:C(semantic_role)[T.patient],0.0026155913360228,0.0008285690318429,3.156757295412275,0.0015984267149108,0.0009914978051387,0.0042396848669068
Qwen_Qwen3-4B-Base,World-Knowledge Model,male_perc:C(valence)[T.-val],0.0010303890288916,0.0008285690318429,1.2435765630775053,0.213674439268643,-0.0005937045019923,0.0026544825597757
Qwen_Qwen3-4B-Base,World-Knowledge Model,male_perc:C(dominance)[T.-dom],0.0012083699107131,0.0008285690318429,1.4583816969667869,0.144755823944509,-0.0004157236201708,0.0028324634415972
