target_model,model,predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
EleutherAI_pythia-6.9b-deduped,Human-Perception Model,"C(valence, Treatment(reference='-val'))",0.0002230233374223,1.7110101786243747e-05,0.0004207374109751,500,0,0.5300772681598667
EleutherAI_pythia-6.9b-deduped,Human-Perception Model,"C(dominance, Treatment(reference='-dom'))",1.1754613883696809e-05,1.0330818609330872e-06,2.217528384965891e-05,500,0,0.5300772681598667
Qwen_Qwen3-4B-Base,World-Knowledge Model,male_perc:C(semantic_role),0.1361571258910758,0.0103014449843597,0.2559883316913244,500,0,0.5318880161118305
Qwen_Qwen3-4B-Base,World-Knowledge Model,male_perc,0.1356926489300218,0.0103014449843597,0.2551150708789277,500,0,0.5318880161118305
Qwen_Qwen3-4B-Base,World-Knowledge Model,"male_perc:C(valence, Treatment(reference='-val'))",0.1295222473230632,0.0101400376691781,0.243514129665653,500,0,0.5318880161118305
Qwen_Qwen3-4B-Base,World-Knowledge Model,"male_perc:C(dominance, Treatment(reference='-dom'))",0.1252735690635727,0.0100265680585004,0.2355262109105945,500,0,0.5318880161118305
Qwen_Qwen3-4B-Base,World-Knowledge Model,"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0016378342577228,3.397705851641875e-05,0.0030792839998457,500,0,0.5318880161118305
Qwen_Qwen3-4B-Base,World-Knowledge Model,"C(semantic_role):C(valence, Treatment(reference='-val'))",0.0011856194080908,6.30005265925152e-05,0.0022290771218308,500,0,0.5318880161118305
Qwen_Qwen3-4B-Base,World-Knowledge Model,"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.0011588920541477,4.337268128391269e-05,0.0021788271573017,500,0,0.5318880161118305
Qwen_Qwen3-4B-Base,World-Knowledge Model,C(semantic_role),0.0006865001781035,4.262754045311393e-05,0.0012906855528011,500,0,0.5318880161118305
Qwen_Qwen3-4B-Base,World-Knowledge Model,"C(valence, Treatment(reference='-val'))",0.0005496837474797,3.3681916853799606e-05,0.0010334576655777,500,0,0.5318880161118305
Qwen_Qwen3-4B-Base,World-Knowledge Model,"C(dominance, Treatment(reference='-dom'))",2.389525855350394e-05,1.6109441469218937e-06,4.492535614579426e-05,500,0,0.5318880161118305
Qwen_Qwen3-4B-Base,Human-Perception Model,male_perc:C(tense),0.1917573584229173,0.0113149064207527,0.3496704531386206,500,0,0.5483945146114433
Qwen_Qwen3-4B-Base,Human-Perception Model,male_perc:C(syntactic_role),0.1809804579321878,0.0111689498706286,0.3300187239480665,500,0,0.5483945146114433
Qwen_Qwen3-4B-Base,Human-Perception Model,male_perc,0.1556783879197148,0.0107477740319401,0.2838802792001273,500,0,0.5483945146114433
Qwen_Qwen3-4B-Base,Human-Perception Model,C(tense):C(syntactic_role),0.0054111642398913,0.00030702704587,0.0098672836720938,500,0,0.5483945146114433
Qwen_Qwen3-4B-Base,Human-Perception Model,"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.0048911987523833,0.0002880723847584,0.0089191241379373,500,0,0.5483945146114433
Qwen_Qwen3-4B-Base,Human-Perception Model,C(syntactic_role),0.0044836731037546,0.000275952601987,0.0081759991836013,500,0,0.5483945146114433
Qwen_Qwen3-4B-Base,Human-Perception Model,"C(tense):C(valence, Treatment(reference='-val'))",0.001537404921953,8.213849683926326e-05,0.0028034651714966,500,0,0.5483945146114433
Qwen_Qwen3-4B-Base,Human-Perception Model,"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0015156018875897,3.157607595986253e-05,0.002763707234861,500,0,0.5483945146114433
Qwen_Qwen3-4B-Base,Human-Perception Model,"C(tense):C(dominance, Treatment(reference='-dom'))",0.0009295138615663,6.705312253751057e-05,0.001694972937913,500,0,0.5483945146114433
Qwen_Qwen3-4B-Base,Human-Perception Model,C(tense),0.0008587528454746,6.658532803466754e-05,0.0015659398892476,500,0,0.5483945146114433
