Input,Model,Syntactic role,Tense,Dominance,Semantic role:tense,Syntactic role):C(valence,Syntactic role):C(dominance,Tense):C(dominance,Male perc,Male perc:semantic role,Male perc:tense,Semantic role,Semantic role):C(dominance,Syntactic role:tense,Tense):C(valence,Valence:dominance,Male perc:syntactic role,Valence,Semantic role:syntactic role,Male perc:valence,Male perc:dominance,Semantic role):C(valence
Pythia 12b,Human-Perception Model,0.00012542842645078432,0.02065090654956056,0.00047856233579240764,-0.0009064873756254613,0.00017116557981129403,0.00215197094755795,0.001852036680584912,1.731281505413109,0.049630667207867976,-0.17208843084728848,,,,,,,,,,,
Pythia 12b,World-Knowledge Model,0.00012542842645078432,0.02065090654956056,0.00047856233579240764,-0.0009064873756254613,0.00017116557981129403,0.00215197094755795,0.001852036680584912,1.731281505413109,0.049630667207867976,-0.17208843084728848,,,,,,,,,,,
Pythia 2.8b,Human-Perception Model,,0.010406904865891752,,-0.0006781895490047217,,,0.0014214572844056697,1.3336109654228396,0.03356864632930432,-0.03139726842460051,0.0008718029769208954,-5.4367695656656774e-05,0.0035294145668225887,-0.0005673338899781087,0.01098264586292473,-0.09924977295746543,,,,,
Pythia 2.8b,World-Knowledge Model,,0.010406904865891752,,-0.0006781895490047217,,,0.0014214572844056697,1.3336109654228396,0.03356864632930432,-0.03139726842460051,0.0008718029769208954,-5.4367695656656774e-05,0.0035294145668225887,-0.0005673338899781087,0.01098264586292473,-0.09924977295746543,,,,,
Pythia 6.9b,Human-Perception Model,,0.01581237990308425,0.0006141940195781832,0.00029639740279839127,0.0015012142086043053,0.0023944497656277256,0.001663332031672352,1.7279370230995257,,-0.10409346696043142,,,0.011354105338203037,0.001584069454163191,0.0013569987773086058,-0.07697618770378227,-0.0014398953598618158,-0.005187266889373201,,,
Pythia 6.9b,World-Knowledge Model,,0.01581237990308425,0.0006141940195781832,0.00029639740279839127,0.0015012142086043053,0.0023944497656277256,0.001663332031672352,1.7279370230995257,,-0.10409346696043142,,,0.011354105338203037,0.001584069454163191,0.0013569987773086058,-0.07697618770378227,-0.0014398953598618158,-0.005187266889373201,,,
Qwen3 4B,Human-Perception Model,0.024346613252427672,0.005999372282769103,,0.0018059368114797635,-0.001188752495447644,,,1.3803165752815962,0.039969642603828764,-0.109572109441858,0.0021174697526278414,0.004314133559750449,0.009326618611380176,0.003896085909123759,0.005224026867113853,,,,,,
Qwen3 4B,World-Knowledge Model,0.024346613252427672,0.005999372282769103,,0.0018059368114797635,-0.001188752495447644,,,1.3803165752815962,0.039969642603828764,-0.109572109441858,0.0021174697526278414,0.004314133559750449,0.009326618611380176,0.003896085909123759,0.005224026867113853,,,,,,
Qwen3 8B,Human-Perception Model,0.025384837528610593,0.022120635130028408,0.0013355725135616881,0.002125307697315186,,,0.001747202620303955,1.3127611812935136,0.05381950554719634,-0.0718983066897306,0.0018640186932976114,-0.0002063026141356071,0.0023481600507145525,-0.0011868170312954633,,0.056149100427374525,0.0073071351162775754,,-0.04756986802910796,,
Qwen3 8B,World-Knowledge Model,0.025384837528610593,0.022120635130028408,0.0013355725135616881,0.002125307697315186,,,0.001747202620303955,1.3127611812935136,0.05381950554719634,-0.0718983066897306,0.0018640186932976114,-0.0002063026141356071,0.0023481600507145525,-0.0011868170312954633,,0.056149100427374525,0.0073071351162775754,,-0.04756986802910796,,
OLMo3 7B,Human-Perception Model,0.011701378026484414,0.010249985070500234,-0.00027135508526904793,0.003163861791094509,-0.004443807635935701,-0.0008875055812986868,0.003266368905238473,1.611507133793476,0.023479533362247743,-0.11502789844278144,0.002330915989106305,,-0.0017690793897669045,0.0006021951729840887,,,0.006637095011421743,0.006503400036829003,-0.04695531547356455,-0.03144067430751147,
OLMo3 7B,World-Knowledge Model,0.011701378026484414,0.010249985070500234,-0.00027135508526904793,0.003163861791094509,-0.004443807635935701,-0.0008875055812986868,0.003266368905238473,1.611507133793476,0.023479533362247743,-0.11502789844278144,0.002330915989106305,,-0.0017690793897669045,0.0006021951729840887,,,0.006637095011421743,0.006503400036829003,-0.04695531547356455,-0.03144067430751147,
OLMo3 32B,Human-Perception Model,0.07762554704812916,0.028555748345646545,0.00035276969993281305,-0.001659104080824333,,,0.015289728414502253,1.5886300506556115,0.04016282219615635,-0.04390333305010457,,0.00033545185977307767,-0.007470058188873496,,,,0.003256147621204583,0.01752213415949321,,0.014053793191115048,
OLMo3 32B,World-Knowledge Model,0.07762554704812916,0.028555748345646545,0.00035276969993281305,-0.001659104080824333,,,0.015289728414502253,1.5886300506556115,0.04016282219615635,-0.04390333305010457,,0.00033545185977307767,-0.007470058188873496,,,,0.003256147621204583,0.01752213415949321,,0.014053793191115048,
Gemma3 12b,Human-Perception Model,0.0017736013132309142,0.009973967085287423,,,-0.0004088169650140706,0.0020391397727236426,0.0008126935735073695,1.3274829123056378,,-0.04413697275637021,,,0.0001392558531735125,,,,0.0010018098620521857,0.003565093662307809,,,
Gemma3 12b,World-Knowledge Model,0.0017736013132309142,0.009973967085287423,,,-0.0004088169650140706,0.0020391397727236426,0.0008126935735073695,1.3274829123056378,,-0.04413697275637021,,,0.0001392558531735125,,,,0.0010018098620521857,0.003565093662307809,,,
Gemma3 4B,Human-Perception Model,0.044520029816534794,0.012431066412221171,,0.000867941824634253,,,0.0005944858366760991,1.2566416014605468,0.034349396444300365,-0.05775302825503977,,,-0.008336177243524727,-0.000584400638884317,0.004635773919327115,-0.04823410516102614,-0.0006387517196712833,0.0034748857905004113,,,0.0016151180253107219
Gemma3 4B,World-Knowledge Model,0.044520029816534794,0.012431066412221171,,0.000867941824634253,,,0.0005944858366760991,1.2566416014605468,0.034349396444300365,-0.05775302825503977,,,-0.008336177243524727,-0.000584400638884317,0.004635773919327115,-0.04823410516102614,-0.0006387517196712833,0.0034748857905004113,,,0.0016151180253107219
GPT2,Human-Perception Model,,0.013850868769749709,,,,,-0.0005185548977990463,0.7314454394927183,,0.0452222233233517,0.0025197832472110796,,,,,0.016711675848964196,0.002258750027545389,,,,0.00029326611299824675
GPT2,World-Knowledge Model,,0.013850868769749709,,,,,-0.0005185548977990463,0.7314454394927183,,0.0452222233233517,0.0025197832472110796,,,,,0.016711675848964196,0.002258750027545389,,,,0.00029326611299824675
Llama3.1 70B,Human-Perception Model,0.0015119633968881082,0.03208453630232285,,,,,0.007229861816304382,1.124061441492883,0.02913682033552271,-0.03418779702839392,,,0.004585866605868383,,,0.06127764775854121,,,,,
Llama3.1 70B,World-Knowledge Model,0.0015119633968881082,0.03208453630232285,,,,,0.007229861816304382,1.124061441492883,0.02913682033552271,-0.03418779702839392,,,0.004585866605868383,,,0.06127764775854121,,,,,
Llama3.1 8B,Human-Perception Model,0.02747101686295442,0.01655730284188138,,0.001523904123074877,,,0.003604777648544975,1.369622088942954,0.025793981308993207,-0.11112632444582436,,,-0.0034713334126286743,,0.0007087356393737843,0.036506229516483295,,0.004381779484439988,,,
Llama3.1 8B,World-Knowledge Model,0.02747101686295442,0.01655730284188138,,0.001523904123074877,,,0.003604777648544975,1.369622088942954,0.025793981308993207,-0.11112632444582436,,,-0.0034713334126286743,,0.0007087356393737843,0.036506229516483295,,0.004381779484439988,,,
Mistral 7B,Human-Perception Model,0.0007842157369648559,0.017092773307749477,0.000535149215722746,0.0016041260367089776,,,0.005446787550487886,1.2869965145399616,0.030767114199732028,-0.06480872746047713,0.000351627315245211,0.000783759916107841,0.004298754959731404,-0.002332875647058412,,0.02939075924696524,0.0003269270529510666,0.0029252626408054327,-0.042982010925620213,,
Mistral 7B,World-Knowledge Model,0.0007842157369648559,0.017092773307749477,0.000535149215722746,0.0016041260367089776,,,0.005446787550487886,1.2869965145399616,0.030767114199732028,-0.06480872746047713,0.000351627315245211,0.000783759916107841,0.004298754959731404,-0.002332875647058412,,0.02939075924696524,0.0003269270529510666,0.0029252626408054327,-0.042982010925620213,,
Falcon3 10B,Human-Perception Model,0.016542717609825335,0.02631839998537439,,-0.0001429530301158795,0.0031480199283107956,0.0017490183869538212,,1.1395487593214413,0.019196257849820274,,0.0008578115502195221,,-0.0002918938138211827,0.000794411454149174,0.0019266423594695573,0.011823958636434529,0.0015772829609500907,0.01090451758695071,,,
Falcon3 10B,World-Knowledge Model,0.016542717609825335,0.02631839998537439,,-0.0001429530301158795,0.0031480199283107956,0.0017490183869538212,,1.1395487593214413,0.019196257849820274,,0.0008578115502195221,,-0.0002918938138211827,0.000794411454149174,0.0019266423594695573,0.011823958636434529,0.0015772829609500907,0.01090451758695071,,,
Falcon3 3B,Human-Perception Model,0.0035392759222922314,0.01381996677029663,0.0011302381572014556,0.00019117896398067346,0.004177279720743626,,,1.0344169957816645,,,0.00041023247897106107,,0.003070442863083907,,,0.008870402734253855,,0.009435686718261813,,,0.0005218075731731069
Falcon3 3B,World-Knowledge Model,0.0035392759222922314,0.01381996677029663,0.0011302381572014556,0.00019117896398067346,0.004177279720743626,,,1.0344169957816645,,,0.00041023247897106107,,0.003070442863083907,,,0.008870402734253855,,0.009435686718261813,,,0.0005218075731731069
Falcon3 7B,Human-Perception Model,0.05526848934328921,0.021820001022679118,,,-0.0005029215195183033,,0.0027111549198888976,1.0875441435260236,0.03271543959688049,-0.1091099056613114,,0.001323864396015879,0.002079445350185616,,0.0013516094498999048,0.05718169534606495,0.005856102340872528,0.006861604181209418,-0.025733624108007842,-0.026858011819725844,
Falcon3 7B,World-Knowledge Model,0.05526848934328921,0.021820001022679118,,,-0.0005029215195183033,,0.0027111549198888976,1.0875441435260236,0.03271543959688049,-0.1091099056613114,,0.001323864396015879,0.002079445350185616,,0.0013516094498999048,0.05718169534606495,0.005856102340872528,0.006861604181209418,-0.025733624108007842,-0.026858011819725844,
